Unnamed: 0,avg_price
0,0.0001672735543875
1,0.0001535631437598
2,0.000156304871187
3,0.0001234005365053
4,7.952425575096552e-05
5,4.387445188260998e-05
6,5.758476206734414e-05
7,9.04945283243674e-05
8,8.50075939010443e-05
9,9.872147070543732e-05
10,0.0001042052806673
11,0.0001179153216519
12,0.0001124322148788
13,0.0001069484130865
14,0.0001042049382071
15,9.049289769025628e-05
16,0.0001042052806673
17,0.0001179153216519
18,0.0001179156985089
19,0.0001151739566939
20,0.0001069470095371
21,0.0001069450512704
22,8.226598375982206e-05
23,8.775106885713894e-05
24,0.0001069470095371
25,0.0001096887384069
26,0.0001179156855637
27,0.000109690486009
28,9.872147070543732e-05
29,6.855517380961574e-05
30,7.129716108169967e-05
31,7.403888832097315e-05
32,6.307201946389501e-05
33,6.581194605684793e-05
34,4.9359745163038905e-05
35,5.21033485857288e-05
36,4.936147981869653e-05
37,6.032823556674347e-05
38,5.758681669674429e-05
39,4.936147981869653e-05
40,3.8392811960435134e-05
41,3.839133565601845e-05
42,3.839133565601845e-05
43,3.290578545422445e-05
44,1.9194007312395223e-05
45,2.4678845496482512e-05
46,2.4680720459966995e-05
47,2.4680720459966995e-05
48,4.9359873401488224e-05
49,5.21033485857288e-05
50,3.564925952548919e-05
51,3.290578545422445e-05
52,4.387626561654574e-05
53,4.661800538979232e-05
54,6.032823556674347e-05
55,6.306996146588622e-05
56,5.758681669674429e-05
57,5.758650966760091e-05
58,5.484494641999842e-05
59,5.21033485857288e-05
60,6.855731782514516e-05
61,9.323625560261436e-05
62,0.0001069484130865
63,7.952425575096552e-05
64,7.67806285054402e-05
65,8.774942223156487e-05
66,8.500945937028004e-05
67,9.0492897690256e-05
68,7.129716108169967e-05
69,7.952425575096552e-05
70,6.855517380961574e-05
71,7.129691265394556e-05
72,7.952413919122397e-05
73,9.0492897690256e-05
74,9.049280915724312e-05
75,8.774942223156487e-05
76,9.0492897690256e-05
77,9.049467593479158e-05
78,9.049280915724312e-05
79,8.775106885713894e-05
80,7.403888832097315e-05
81,9.049280915724312e-05
82,7.67806285054402e-05
83,7.952235574471406e-05
84,7.952425575096552e-05
85,8.226586654613419e-05
86,9.04945283243674e-05
87,9.323637314894744e-05
88,8.500945937028004e-05
89,8.500945937028004e-05
90,7.67806285054402e-05
91,6.581170031021604e-05
92,6.581170031021604e-05
93,5.758681669674429e-05
94,6.032823556674347e-05
95,6.306996146588622e-05
96,6.581170031021604e-05
97,4.9359745163038905e-05
98,5.210321959194312e-05
99,5.758650966760091e-05
100,6.032823556674347e-05
101,6.032823556674347e-05
102,5.210321959194312e-05
103,6.032823556674347e-05
104,6.032823556674347e-05
105,5.210321959194312e-05
106,5.4845089113834056e-05
107,5.21033485857288e-05
108,5.21033485857288e-05
109,4.936147981869653e-05
110,5.21033485857288e-05
111,6.855542089723262e-05
112,7.129716108169967e-05
113,6.581170031021604e-05
114,6.032823556674347e-05
115,6.306996146588622e-05
116,7.404078678805526e-05
117,7.129716108169967e-05
118,6.581170031021604e-05
119,6.855368624131499e-05
120,6.855368624131499e-05
121,6.581170031021604e-05
122,6.306996146588622e-05
123,6.855368624131499e-05
124,5.758681669674429e-05
125,5.758681669674429e-05
126,5.758681669674429e-05
127,6.306996146588622e-05
128,5.758681669674429e-05
129,6.032823556674347e-05
130,6.032823556674347e-05
131,6.306996146588622e-05
132,6.032823556674347e-05
133,5.21033485857288e-05
134,5.758681669674429e-05
135,5.4845089113834056e-05
136,5.21033485857288e-05
137,5.21033485857288e-05
138,4.936147981869653e-05
139,4.936147981869653e-05
140,4.936147981869653e-05
141,5.758650966760091e-05
142,5.21033485857288e-05
143,4.661800538979232e-05
144,4.661800538979232e-05
145,5.21033485857288e-05
146,5.21033485857288e-05
147,5.21033485857288e-05
148,5.21033485857288e-05
149,5.21033485857288e-05
150,4.113453878849044e-05
151,3.839133565601845e-05
152,4.1133076911495504e-05
153,4.113453878849044e-05
154,4.936147981869653e-05
155,4.9359873401488224e-05
156,4.38748052217738e-05
157,3.290578545422445e-05
158,3.290578545422445e-05
159,3.290578545422445e-05
160,2.4680720459966995e-05
161,3.290613143366814e-05
162,3.564960734574025e-05
163,3.5647859743946336e-05
164,1.919550554162965e-05
165,1.9195518486822658e-05
166,3.290613143366814e-05
167,4.1133076911495504e-05
168,4.9359873401488224e-05
169,4.936147981869653e-05
170,3.839133565601845e-05
171,3.839133565601845e-05
172,3.839133565601845e-05
173,4.661813287338297e-05
174,4.113306396629665e-05
175,3.016405898358077e-05
176,3.290613143366814e-05
177,1.9194007312395223e-05
178,1.9194007312395223e-05
179,2.1937245672856204e-05
180,1.6453778355596105e-05
181,1.0967061177884195e-05
182,2.1937106080648992e-05
183,3.5647859743946336e-05
184,2.742246059119384e-05
185,2.4680720459966995e-05
186,2.4680720459966995e-05
187,2.742231956774725e-05
188,1.9195518486822658e-05
