,avg_price
0,0.16494396908927023
1,0.17871763801639132
2,0.1637577200907622
3,0.15845255095854568
4,0.16085800031663142
5,0.15196113282782114
6,0.1503794674964771
7,0.15311443046525952
8,0.16810729975195832
9,0.19255720966565176
10,0.17917895707136666
11,0.16652563442061427
12,0.14609579055742028
13,0.13179489985318452
14,0.15031356477433777
15,0.16247261700904514
16,0.18310016903865714
17,0.23348280011417907
18,0.26804877787626047
19,0.25931666719279856
20,0.2647865931303634
21,0.32126522600377383
22,0.3083812438255338
23,0.2914112928746549
24,0.29523365075873637
25,0.30198867977801824
26,0.2869793348107846
27,0.2659069394067321
28,0.2692679782358382
29,0.2610960406905606
30,0.263534441409716
31,0.2645559336028757
32,0.2715416221496453
33,0.2795817542506442
34,0.29193851465176957
35,0.2904557034036345
36,0.2965517052015231
37,0.27366698493863884
38,0.23875501788532588
39,0.22657948997008368
40,0.2346690491126871
41,0.22816115530142772
42,0.21750138999539023
43,0.20005364430900116
44,0.18603284017385754
45,0.18237523909512443
46,0.20593546225993686
47,0.2199727420756153
48,0.22082947746342665
49,0.2122291722242434
50,0.20899993883941595
51,0.17759729174002262
52,0.16296688742509016
53,0.18069471968057138
54,0.18484659117534952
55,0.19351279913667213
56,0.21196556133568606
57,0.23117620483930232
58,0.22580513298494648
59,0.2199727420756153
60,0.21064750689289935
61,0.20962601469973963
62,0.221191942435193
63,0.23226359975460137
64,0.2348667572791051
65,0.23117620483930232
66,0.23737106072039985
67,0.23143981572785965
68,0.23450429230733877
69,0.2308796425896753
70,0.22335025658525623
71,0.21288819944563675
72,0.21753434135645988
73,0.21430510797163246
74,0.20647915971758637
75,0.21306943193151992
76,0.1947649508573195
77,0.18657653763150708
78,0.1777290971843013
79,0.1719296576360398
80,0.16533938542210624
81,0.1604461083032606
82,0.16764598069698297
83,0.1669210507534503
84,0.16306574150829917
85,0.15930928634635705
86,0.1572003992378983
87,0.14464593067035492
88,0.1458980823910023
89,0.16042963262272575
90,0.1515986678560548
91,0.14593103375207195
92,0.15090668927359177
93,0.1418121136183635
94,0.14131784320231847
95,0.14148260000766683
96,0.14540381197495728
97,0.14939092666438705
98,0.14141669728552747
