,avg_price
0,0.0004791917216048968
1,0.00039820161436975233
2,0.00040157598057498573
3,0.00041844928432486296
4,0.00041844928432486296
5,0.0004083260949668315
6,0.00034083338544280557
7,0.0003374590189111938
8,0.00032733519323853417
9,0.0003391461925222151
10,0.0003374590189111938
11,0.00032058648899914444
12,0.00031721212260843825
13,0.00032733519323853417
14,0.00032058648899914444
15,0.00032733519323853417
16,0.0003307102352787725
17,0.0003509577467074767
18,0.00035433202949617336
19,0.00035433202949617336
20,0.0003475833807348336
21,0.00034083338544280557
22,0.0003323974640995675
23,0.0003104620081698522
24,0.00030033819845321673
25,0.0003020260475408919
26,0.0003020260475408919
27,0.00028346632382947356
28,0.0004353235773564111
29,0.0002800907005697088
30,0.0002665925282065031
31,0.0002632182555315776
32,0.0002632182555315776
33,0.00024971932314982865
34,0.0002379090303036529
35,0.00022609819981489091
36,0.00021259918824150656
37,0.00021259918824150656
38,0.00021259918824150656
39,0.00021091200559785175
40,0.00020753769284689774
41,0.00020753769284689774
42,0.00020753769284689774
43,0.00018222801024587638
44,0.00017716627556495056
45,0.00013667133128516647
46,0.00013498414811587733
47,0.00013498414811587733
48,0.00013160981608753845
49,0.00013498414811587733
50,0.00013498414811587733
51,0.00013498414811587733
52,0.00015016929093628008
53,0.00017210420350562012
54,0.0001957268625127355
55,0.00020078846726284992
56,0.00020078846726284992
57,0.0002058498534563877
58,0.0002058498534563877
59,0.00021259918824150656
60,0.00021091200559785175
61,0.00020753769284689774
62,0.00017547843662299578
63,0.0001248596576675384
64,0.0001282354397368013
65,0.00013835856957831292
66,0.00014004575293031577
67,0.00014510721835391492
68,0.00015523105469780345
69,0.0001602939502075218
70,0.00015691824754008538
71,0.00015860675725404218
72,0.0001602939502075218
73,0.00015523105469780345
74,0.00015354387151030567
75,0.00015523105469780345
76,0.00015523105469780345
77,0.00015523105469780345
78,0.00015523105469780345
79,0.00014510721835391492
80,0.0001248596576675384
81,0.00011979813237333512
82,0.00011136158852979831
83,0.00011473600027030112
84,0.00011473600027030112
85,0.00010629991377304504
86,8.436468284950319e-05
87,8.436468284950319e-05
88,8.436468284950319e-05
89,8.436468284950319e-05
90,7.424153308816778e-05
91,7.424153308816778e-05
92,7.424153308816778e-05
93,7.424153308816778e-05
94,7.424153308816778e-05
95,6.242983973615368e-05
96,4.893172588846218e-05
97,4.7244542773256736e-05
98,5.230613258813855e-05
99,4.893172588846218e-05
100,4.7244542773256736e-05
101,4.7244542773256736e-05
102,4.7244542773256736e-05
103,4.7244542773256736e-05
104,6.749268592150374e-05
105,8.267748968485752e-05
106,0.00011136158852979831
107,0.00012654685012606346
108,0.0001248596576675384
109,0.00011473600027030112
110,0.00010123845866167354
111,9.111395785879e-05
112,9.280113750851862e-05
113,9.448832019757299e-05
114,8.942677503671538e-05
115,8.942677503671538e-05
116,8.942677503671538e-05
117,8.942677503671538e-05
118,7.424153308816778e-05
119,6.917987828613434e-05
120,7.424153308816778e-05
121,7.424153308816778e-05
122,8.436468284950319e-05
123,8.436468284950319e-05
124,8.942677503671538e-05
125,8.605252288481143e-05
126,8.436468284950319e-05
127,8.09902310109289e-05
128,8.942677503671538e-05
129,8.436468284950319e-05
130,8.267737756845387e-05
131,8.436457004531062e-05
132,8.436468284950319e-05
133,8.942676247562849e-05
134,9.617624294894173e-05
135,9.955127548413069e-05
136,9.786333437252464e-05
137,9.786333437252464e-05
138,9.786408265180377e-05
139,0.00010630006377574091
140,0.00011811097440800154
141,0.00012654759986343968
142,0.00013498419321952224
143,0.00013835846752195818
144,0.00013498414811587733
145,0.00013498414811587733
146,0.0001349841932195223
147,0.00012654756608933138
148,0.0001248596576675384
149,0.00012823474925862058
150,0.00012317246520901327
151,0.00011473600027030112
152,0.00012317319009596915
153,0.0001282354397368013
154,0.0001332970098675195
155,0.000131609781777299
156,0.000131609781777299
157,0.0001248596576675384
158,0.00011979813237333512
159,0.00011811094934027443
160,0.00011473600027030112
161,0.00010461283467154311
162,9.44890501166148e-05
163,8.773892326144484e-05
164,8.436468284950319e-05
165,8.605175286738524e-05
166,7.255424370583269e-05
167,7.255429676975555e-05
168,7.255429676975555e-05
169,6.242987320790126e-05
170,6.243047161203756e-05
171,5.905549736365578e-05
172,6.243047161203756e-05
173,5.905549736365578e-05
174,6.411766397666816e-05
175,6.749213336820119e-05
176,6.074264727222798e-05
177,5.39933255706285e-05
178,5.230613741553103e-05
179,5.7367625128764625e-05
180,5.905549736365578e-05
181,6.411702254529744e-05
182,6.074264727222798e-05
183,6.411766397666816e-05
184,5.905546446308422e-05
185,5.7367625128764625e-05
186,5.568047464890685e-05
187,5.7367625128764625e-05
188,5.736765774363779e-05
189,5.736765774363779e-05
190,6.242983008137174e-05
191,6.411766397666816e-05
192,6.242983973615368e-05
193,6.074268045838676e-05
194,5.7367625128764625e-05
195,5.39933255706285e-05
196,5.230613258813855e-05
197,5.3993281899392314e-05
198,5.3993281899392314e-05
199,5.0618944433041086e-05
200,4.893172588846218e-05
201,4.893172588846218e-05
202,4.3870195720000975e-05
203,4.555738479514118e-05
204,4.3870195720000975e-05
205,4.2183007571474825e-05
206,3.3745764902840444e-05
207,3.712079625530609e-05
208,3.0371388727941954e-05
209,2.699696232510435e-05
210,2.0248288416888455e-05
211,1.5186076612179701e-05
212,1.3498838311647903e-05
213,1.1811699989475594e-05
214,1.856038490708339e-05
215,1.5186076612179701e-05
216,1.856045323488376e-05
217,2.5309127753580065e-05
218,2.3621940052474502e-05
219,2.193475235136904e-05
220,2.3621948201377973e-05
221,2.699636568247662e-05
222,2.3621948201377973e-05
223,2.193476043661313e-05
224,2.0247572671848284e-05
225,1.687326492353173e-05
226,1.1811650410016131e-05
227,1.6872593245011102e-06
228,6.749439834625482e-06
229,1.5186076612179701e-05
230,2.0247572671848284e-05
231,2.530917759502745e-05
232,2.699636568247662e-05
233,3.0371388727942005e-05
234,3.543353877473899e-05
235,3.205857681539127e-05
236,3.374635113974998e-05
237,3.374635113974998e-05
238,3.205916350476097e-05
239,2.868415002620991e-05
240,2.868415002620991e-05
241,2.868415002620991e-05
242,2.8684200640492734e-05
243,3.205916350476097e-05
244,2.868415002620991e-05
245,2.868415002620991e-05
246,3.0371388727942005e-05
247,3.205916350476097e-05
248,2.5309127753580065e-05
249,2.5309127753580065e-05
250,2.699636568247662e-05
251,2.6996315454685625e-05
252,2.6996315454685625e-05
253,2.6996315454685625e-05
254,2.8683553769925914e-05
255,2.6996315454685625e-05
256,3.543353877473909e-05
257,4.387016688806221e-05
258,4.55573548306595e-05
259,4.3870195720000975e-05
260,4.3870195720000975e-05
261,4.3870195720000975e-05
262,4.3870195720000975e-05
263,4.387016688806221e-05
264,3.543295299028971e-05
265,3.712079625530609e-05
266,3.712079625530609e-05
267,3.3745764902840444e-05
268,3.374635113974998e-05
269,3.037133772731547e-05
270,3.037133772731547e-05
271,2.3622595071821028e-05
272,2.3621948201377973e-05
273,2.3621948201377973e-05
274,1.856038490708339e-05
275,1.687319714231855e-05
276,1.01238648074708e-05
277,6.749439834625482e-06
278,6.749439834625482e-06
279,5.062240882172085e-06
280,6.749439834625482e-06
281,8.437274606752687e-06
282,3.3744474875533825e-06
283,1.6872593245011836e-06
284,5.062240882172085e-06
285,6.749428689358553e-06
286,1.3498888300827623e-05
287,2.530917759502745e-05
288,1.3498838311647903e-05
289,1.687319714231855e-05
290,1.5186076612179701e-05
291,1.1811650410016131e-05
292,1.1811699989475594e-05
293,1.0124462508384361e-05
294,8.437263367004297e-06
295,1.0124462508384361e-05
296,3.3744474875533825e-06
297,0.0
298,1.6878652677991994e-06
299,5.0628877526314596e-06
300,6.75007555981783e-06
301,8.437263367004297e-06
302,1.1811699989475594e-05
303,1.3498888300827623e-05
304,1.1811650410016131e-05
305,1.3498888300827623e-05
306,1.3498888300827623e-05
307,1.1811650410016131e-05
308,1.3498888300827623e-05
309,1.1811650410016131e-05
310,7.930369456875343e-05
311,8.436532547218204e-05
312,8.09908824703851e-05
313,7.930369456875343e-05
314,7.930369456875343e-05
315,7.930369456875343e-05
316,8.436532547218204e-05
317,8.436532547218204e-05
318,8.09908824703851e-05
319,7.5929303747677e-05
320,7.424213086385821e-05
321,7.086774032611775e-05
322,7.255492813330412e-05
323,7.255492813330412e-05
324,7.255492813330412e-05
325,7.424213086385821e-05
326,7.424211594049054e-05
327,6.411645571041327e-05
328,6.411645571041327e-05
329,6.0741985751062625e-05
330,5.399319258893553e-05
331,5.736761067332487e-05
332,4.724455903362861e-05
333,4.555737097652899e-05
334,5.2306005344614125e-05
335,5.3993235595587116e-05
336,7.761650666712176e-05
337,7.086650210381386e-05
338,6.4117007699157e-05
339,6.0742632621419194e-05
340,6.0742632621419194e-05
341,7.086774032611775e-05
342,7.086774032611775e-05
343,6.0741985751062625e-05
344,7.086774032611775e-05
345,6.749271784128549e-05
346,6.749212577770945e-05
347,6.411645571041327e-05
348,6.24297756807859e-05
349,5.905479821219377e-05
350,5.5680379833256884e-05
351,5.2306005344614125e-05
352,5.2306005344614125e-05
353,5.0618818100292726e-05
354,5.0618818100292726e-05
355,4.724455903362861e-05
356,4.555737097652899e-05
357,4.555737097652899e-05
358,4.218295362780106e-05
359,3.7121390346397606e-05
360,2.6997009254965313e-05
361,1.5185973305592138e-05
362,2.5309174322327218e-05
363,3.0372676469449853e-05
364,3.374636795502034e-05
365,5.0618818100292726e-05
366,5.0618818100292726e-05
367,4.724455903362861e-05
368,4.218295362780106e-05
369,4.2182994862330026e-05
370,4.218295362780106e-05
371,5.905479821219377e-05
372,5.5680379833256884e-05
373,4.724455903362861e-05
374,4.724444361165012e-05
375,5.0618818100292726e-05
376,5.0618818100292726e-05
377,5.399319258893553e-05
378,5.736761067332487e-05
379,5.90548912212565e-05
380,5.736756707757828e-05
381,5.399319258893553e-05
382,5.399319258893553e-05
383,5.399319258893553e-05
384,5.2306005344614125e-05
385,6.749147890711356e-05
386,7.761650666712176e-05
387,7.761650666712176e-05
388,7.086650210381386e-05
389,7.761650666712176e-05
390,6.411645571041327e-05
391,7.086774032611775e-05
392,6.749271784128549e-05
393,7.086774032611775e-05
394,5.736761067332487e-05
395,6.580429074406139e-05
396,6.411645571041327e-05
397,6.917925877801258e-05
398,6.749212577770945e-05
399,7.255492813330412e-05
400,7.761650666712176e-05
401,7.086650210381386e-05
402,7.086646131960381e-05
403,8.436532547218204e-05
404,8.09908824703851e-05
405,8.605251378353412e-05
406,0.00011136280418278564
407,0.00013160981835873942
408,0.0001754786748971116
409,0.00019235308928829055
410,0.00019910169823712573
411,0.0001923516648548651
412,0.0001822279025406283
413,0.00017210429822260624
414,0.0001653555183899501
415,0.0001569194520558108
416,0.0001535450769813311
417,0.0001434193647277956
418,0.00014173222881380259
419,0.0001349835223252639
420,0.0001383578433147735
421,0.00013160910521242716
422,0.00011811155472274188
423,0.0001248603630968218
424,0.00012148602551692635
425,0.0001248603630968218
426,0.0001231731751542245
427,0.00012148602551692635
428,0.00011811164921987405
429,0.00011811164921987405
430,0.00011136159189003992
431,0.00010629938075712543
432,0.00011136280418278564
433,0.0001197988373684002
434,0.00012654755103941903
435,0.0001248603630968218
436,0.00012148602551692635
437,0.00011304877997748919
438,0.00010798656884457461
439,0.0001248603630968218
440,0.0001248603630968218
441,0.00012148602551692635
442,0.00011642436708775277
443,0.00010967440380259075
444,0.00011136280418278564
445,0.00010123840721454875
446,8.605244617528018e-05
447,7.5929303747677e-05
448,7.761650666712176e-05
449,8.436532547218204e-05
450,0.0001046115457991093
451,0.000102925004582227
452,0.00010629938075712543
453,0.00010629938075712543
454,0.00010629938075712543
455,0.0001079871351720209
456,0.00010798721571514157
457,9.78627379441329e-05
458,0.00010629938075712543
459,9.78627379441329e-05
460,9.786279344931232e-05
461,9.955057257934085e-05
462,8.773970209488614e-05
463,8.605251378353412e-05
464,8.605251378353412e-05
465,8.77396113555438e-05
466,0.0001046115457991093
467,0.00013160915566985394
468,0.00012823473898201633
469,0.00013160915566985394
470,0.00012823477935965902
471,0.00013329633899755893
472,0.00014004503606428805
473,0.0001586067655405982
474,0.00016029395858032885
475,0.00016029388491698744
476,0.00015860664442044143
477,0.0001552322693459617
478,0.0001552322693459617
479,0.00016029395858032885
480,0.0001619810679033089
481,0.0001636683350050048
482,0.00016704263617183925
483,0.00016704263617183925
484,0.00017210429822260624
485,0.0001805414746852843
486,0.00023622260819178
487,0.00025309434723985795
488,0.000253094481353819
489,0.00023622116655148387
490,0.00022441024842617734
491,0.00022947175950177367
492,0.00023622260819178
493,0.00023622260819178
494,0.00023115959883069056
495,0.00022778457669803045
496,0.00022778457669803045
497,0.0002193481413688648
498,0.0002058504481231899
499,0.0002075377789260265
500,0.00020247608283493885
501,0.00019235308928829055
502,0.00018897729947675636
503,0.00018560162104838912
504,0.0001940402724658333
505,0.0002007888905360323
506,0.0002142865717483001
507,0.0002142865717483001
508,0.00021934802349216556
509,0.00021597375518529798
510,0.00021934802349216556
511,0.00021934802349216556
512,0.00022103521618000956
513,0.00022103521618000956
514,0.00023959691948596245
515,0.00023284678163443376
516,0.0002193481413688648
517,0.00022103521618000956
518,0.00022103521618000956
519,0.00022103521618000956
520,0.00020922496211378254
521,0.00019572604954253662
522,0.00018054089160692526
523,0.00019235308928829055
524,0.00018222873164223352
525,0.00017716651493241984
526,0.00019235308928829055
527,0.00019235308928829055
528,0.00018222873164223352
529,0.00017716651493241984
530,0.00017716651493241984
531,0.00017716651493241984
532,0.00018897664295162712
533,0.00019235308928829055
534,0.00019235308928829055
535,0.00019235308928829055
536,0.0002007888905360323
537,0.0002007888905360323
538,0.00020585059573827044
539,0.00019572745564337603
540,0.0001940402724658333
541,0.00019235308928829055
542,0.00018897729947675636
543,0.00018728946026257275
544,0.00019235308928829055
545,0.00019235167450964654
546,0.00019235308928829055
547,0.00018897729947675636
548,0.00018728946026257275
549,0.00018728946026257275
550,0.00021259938831130225
551,0.00022272305573833336
552,0.00022103521618000956
553,0.00022609673736911356
554,0.00022609673736911356
555,0.00023959691948596245
556,0.0002345339740929588
557,0.00022609743145923805
558,0.00022103521618000956
559,0.0002176609482770814
560,0.00022103521618000956
561,0.00022103521618000956
562,0.00022103521618000956
563,0.00022778457669803045
564,0.00024634573829102275
565,0.0002429713051341088
566,0.00022947245405062253
567,0.00022272305573833336
568,0.0002176609482770814
569,0.00020922482306622207
570,0.00019235308928829055
571,0.0002075377789260265
572,0.00020922496211378254
573,0.0002142865717483001
574,0.0002142865717483001
575,0.00023959691948596245
576,0.00024634573829102275
577,0.0002429713051341088
578,0.00024634573829102275
579,0.0002665919323859222
580,0.0002564688577126098
581,0.00025309434723985795
582,0.00024972010499502823
583,0.0002480329216430255
584,0.00025309434723985795
585,0.00025309434723985795
586,0.00025309434723985795
587,0.00024972010499502823
588,0.00025309434723985795
589,0.00027334332192973884
590,0.0003003382823656424
591,0.00036276951405093646
592,0.0003442091917941268
593,0.000347582060099258
594,0.000347582060099258
595,0.00035264427516713544
596,0.00034252111757857403
597,0.000347582060099258
598,0.0003560208432070799
599,0.0003695182707184392
600,0.00037626682667534785
601,0.00038807712395592616
602,0.000384702795466758
603,0.00038807712395592616
604,0.0003948286708919117
605,0.0004032645251720809
606,0.0004083261511098635
607,0.0004049517180393587
608,0.00039820303772742825
609,0.00040832608446434544
610,0.0004083261511098635
611,0.0004049517180393587
612,0.0004083261511098635
613,0.0004167627340172861
614,0.00041001333445531406
615,0.0004083261511098635
616,0.0004083261511098635
617,0.0004083261511098635
618,0.0004083261511098635
619,0.0004117003940590457
620,0.0004117005178007646
621,0.00041844917494203427
622,0.0004201363283677443
623,0.00047919192806399535
624,0.0005922411782130391
625,0.000575367915001251
626,0.0005247497798209622
627,0.0004758173891429246
628,0.00044375894206094926
629,0.0004251993169247087
630,0.0004370102792130479
631,0.00047244239862169083
632,0.00046738078584983723
633,0.0004690680517417964
634,0.0005045022021649226
635,0.0005399350107489516
636,0.0005584947340749729
637,0.0005466846998326677
638,0.0005399346334327595
639,0.0005416217679505838
640,0.0005348728668978969
641,0.0005298115323736015
642,0.0005095638294228102
643,0.0004910034337372924
644,0.0004910034910317014
645,0.0004842547191772523
646,0.0004910034910317014
647,0.0004926906646210655
648,0.0005028137923189316
649,0.0005095632012170777
650,0.0005028144399208708
651,0.0004994394064777507
652,0.0005045009659299527
653,0.0004994393975976596
654,0.0004994394064777507
655,0.0005078759405990535
656,0.0004926906641183704
657,0.000485941931336958
658,0.0004876291245434043
659,0.0005028144488442853
660,0.0005163124927239557
661,0.000539935001031662
662,0.0005534334129006409
663,0.0005568074742481737
664,0.0005416217011173728
665,0.0005213739486366231
666,0.0005281236633739351
667,0.0005534334108039006
668,0.0005669319340212836
669,0.0005551210247488531
670,0.00054837183381114
